patent,uspto,google,count
06106074,6,6,6
06040864,13,12,8
06315815,41,41,29
04914313,5,5,5
07066120,0,1,1
04400868,10,10,9
06027797,21,20,19
05963457,50,60,40
05387515,3,3,3
06976126,4,4,2
04304993,2,2,2
04435545,3,3,3
04975195,9,9,7
05154877,3,3,3
04935859,9,9,8
06871638,3,3,3
06076499,7,7,6
06113865,0,1,1
05912496,2,2,1
05957390,0,1,1
04397750,19,19,19
05076513,5,5,4
04460704,13,13,8
07190441,4,4,2
06086537,17,16,11
07301789,6,6,4
06962405,4,4,1
05434839,7,7,6
05822378,7,7,6
07165517,2,1,1
06341597,2,2,2
07124749,2,2,2
04565548,15,15,13
06106769,2,2,1
07292551,5,4,2
06473451,17,17,13
06736218,7,7,2
05921248,0,1,1
04774932,14,14,8
04411203,2,2,1
06048319,37,36,20
06511520,5,4,4
06871630,6,5,1
06049045,6,6,5
05216210,5,5,4
05783641,9,9,8
06925835,3,3,1
07286462,10,9,1
07215480,4,4,3
04494529,3,3,3
06958587,0,1,1
04503162,12,12,9
05712468,8,8,5
05818208,6,5,2
04248189,2,2,2
06476509,17,17,13
04957690,29,28,26
06066843,5,5,4
06901900,2,2,2
06725847,16,13,7
05995439,15,15,8
07233213,2,2,1
05980516,50,69,44
04500323,33,27,8
07196475,3,3,2
07452181,0,1,1
05888591,50,59,32
07422537,0,1,1
06883340,3,3,1
05870346,5,5,4
06792040,8,7,3
04824488,4,4,4
05883396,27,27,20
05710046,9,9,7
05951596,49,47,40
06492047,42,41,27
04683147,24,23,18
06041012,19,19,16
06725825,22,21,18
04773441,8,8,7
06504787,6,6,5
05999661,4,4,2
07028213,13,12,7
07242373,7,7,4
06225552,3,3,3
06220019,12,12,11
06772803,4,4,4
05439583,7,7,7
07480559,4,4,1
05618706,3,3,3
04548172,25,25,23
05997749,2,2,1
05983290,4,4,2
04684495,35,35,33
06082335,2,2,2
06217315,7,6,5
06039390,45,40,31
07138730,9,9,3
07000379,8,6,2
06582944,7,7,2
04501114,7,7,7
07005966,4,3,1
06357429,7,7,7
04285316,7,7,7
05727628,12,12,10
05935125,7,7,6
05143074,35,32,17
06525948,5,5,2
06438852,2,1,1
05814851,18,18,16
05762315,6,6,2
05909361,5,5,4
05806801,7,7,5
05473647,2,2,1
05834624,3,3,3
06919053,3,3,3
05993458,21,19,11
06092365,27,26,19
05886337,31,29,25
06272076,10,9,8
06050297,33,33,9
07449724,5,2,1
06318343,21,19,10
05975072,4,4,2
07131275,6,6,2
06073881,20,13,7
05261765,20,20,20
06230054,2,2,2
06623245,43,35,9
05800171,0,1,1
04788823,3,3,1
04651697,2,2,2
05824862,9,9,4
06867743,0,1,1
07263621,0,0,1
06276481,22,21,14
06297696,18,18,12
04648354,0,1,1
07321125,0,1,1
05820441,23,23,21
06110167,12,11,10
05782878,50,50,35
05933282,3,3,2
05985518,7,7,4
05985510,22,20,14
05258293,15,15,9
06769255,4,4,3
04316096,34,31,10
05961786,21,17,6
05794096,19,19,18
05977526,3,3,1
05681358,13,13,12
05751565,10,10,5
06900970,4,4,1
06898192,9,9,6
05950723,8,8,6
05134866,4,4,4
05900957,20,19,13
06905510,12,9,2
06363724,13,12,9
05070809,11,11,11
05738004,3,3,2
06067861,20,19,17
06018129,2,2,1
06748742,5,5,2
04893496,30,29,24
06566919,4,4,2
06606855,19,17,9
06833019,6,5,4
05748141,4,4,2
05928291,46,44,25
07366508,5,4,2
07391334,2,2,1
06047700,50,117,59
04668512,21,20,18
06002967,0,1,1
06894454,23,19,10
07090621,9,9,1
06817841,3,3,3
06907534,8,8,6
07047942,2,3,2
06294127,5,5,3
06201355,10,10,7
04588451,30,30,29
04866980,4,4,4
07199783,24,23,3
06150634,6,6,6
05190020,24,24,23
07378820,6,5,1
05899596,0,1,1
07169976,4,4,1
04860693,7,7,7
06075770,26,25,15
04771764,29,26,17
05999933,49,49,25
06311494,4,4,4
06105097,39,39,29
06026718,2,2,2
06018224,3,3,1
