patentnumber, counts

06106074, 6
06040864, 12
06315815, 41
04914313, 5
07066120, 1
04400868, 10
06027797, 20
05963457, 60
05387515, 3
06976126, 4
04304993, 2
04435545, 3
04975195, 9
05154877, 3
04935859, 9
06871638, 3
06076499, 7
06113865, 1
05912496, 2
05957390, 1
04397750, 19
05076513, 5
04460704, 13
07190441, 4
06086537, 16
07301789, 6
06962405, 4
05434839, 7
05822378, 7
07165517, 1
06341597, 2
07124749, 2
04565548, 15
06106769, 2
07292551, 4
06473451, 17
06736218, 7
05921248, 1
04774932, 14
04411203, 2
06048319, 36
06511520, 4
06871630, 5
06049045, 6
05216210, 5
05783641, 9
06925835, 3
07286462, 9
07215480, 4
04494529, 3
06958587, 1
04503162, 12
05712468, 8
05818208, 5
04248189, 2
06476509, 17
04957690, 28
06066843, 5
06901900, 2
06725847, 13
05995439, 15
07233213, 2
05980516, 69
04500323, 27
07196475, 3
07452181, 1
05888591, 59
07422537, 1
06883340, 3
05870346, 5
06792040, 7
04824488, 4
05883396, 27
05710046, 9
05951596, 47
06492047, 41
04683147, 23
06041012, 19
06725825, 21
04773441, 8
06504787, 6
05999661, 4
07028213, 12
07242373, 7
06225552, 3
06220019, 12
06772803, 4
05439583, 7
07480559, 4
05618706, 3
04548172, 25
05997749, 2
05983290, 4
04684495, 35
06082335, 2
06217315, 6
06039390, 40
07138730, 9
07000379, 6
06582944, 7
04501114, 7
07005966, 3
06357429, 7
04285316, 7
05727628, 12
05935125, 7
05143074, 32
06525948, 5
06438852, 1
05814851, 18
05762315, 6
05909361, 5
05806801, 7
05473647, 2
05834624, 3
06919053, 3
05993458, 19
06092365, 26
05886337, 29
06272076, 9
06050297, 33
07449724, 2
06318343, 19
05975072, 4
07131275, 6
06073881, 13
05261765, 20
06230054, 2
06623245, 35
05800171, 1
04788823, 3
04651697, 2
05824862, 9
06867743, 1
07263621, 0
06276481, 21
06297696, 18
04648354, 1
07321125, 1
05820441, 23
06110167, 11
05782878, 50
05933282, 3
05985518, 7
05985510, 20
05258293, 15
06769255, 4
04316096, 31
05961786, 17
05794096, 19
05977526, 3
05681358, 13
05751565, 10
06900970, 4
06898192, 9
05950723, 8
05134866, 4
05900957, 19
06905510, 9
06363724, 12
05070809, 11
05738004, 3
06067861, 19
06018129, 2
06748742, 5
04893496, 29
06566919, 4
06606855, 17
06833019, 5
05748141, 4
05928291, 44
07366508, 4
07391334, 2
06047700, 117
04668512, 20
06002967, 1
06894454, 19
07090621, 9
06817841, 3
06907534, 8
07047942, 3
06294127, 5
06201355, 10
04588451, 30
04866980, 4
07199783, 23
06150634, 6
05190020, 24
07378820, 5
05899596, 1
07169976, 4
04860693, 7
06075770, 25
04771764, 26
05999933, 49
06311494, 4
06105097, 39
06026718, 2
06018224, 3
06860911, 5
07198223, 26
07000019, 45
07198223, 26
07000019, 45
07198223, 26
07000019, 45
07198223, 26
07000019, 45
07198223, 26
07000019, 45
07198223, 26
07000019, 45
07198223, 26
07000019, 45
07198223, 26
07000019, 45
05617841, 3
07174704, 12
