Patent, File count, USPTO count, Google count
06106074, 6, 6, 6
06040864, 8, 13, 12
06315815, 29, 41, 41
04914313, 5, 5, 5
07066120, 1, 0, 1
04400868, 9, 10, 10
06027797, 19, 21, 20
05963457, 40, 50, 60
05387515, 3, 3, 3
06976126, 2, 4, 4
04304993, 2, 2, 2
04435545, 3, 3, 3
04975195, 7, 9, 9
05154877, 3, 3, 3
04935859, 8, 9, 9
06871638, 3, 3, 3
06076499, 6, 7, 7
06113865, 1, 0, 1
05912496, 1, 2, 2
05957390, 1, 0, 1
04397750, 19, 19, 19
05076513, 4, 5, 5
04460704, 8, 13, 13
07190441, 2, 4, 4
06086537, 11, 17, 16
07301789, 4, 6, 6
06962405, 1, 4, 4
05434839, 6, 7, 7
05822378, 6, 7, 7
07165517, 1, 2, 1
06341597, 2, 2, 2
07124749, 2, 2, 2
04565548, 13, 15, 15
06106769, 1, 2, 2
07292551, 2, 5, 4
06473451, 13, 17, 17
06736218, 2, 7, 7
05921248, 1, 0, 1
04774932, 8, 14, 14
04411203, 1, 2, 2
06048319, 20, 37, 36
06511520, 4, 5, 4
06871630, 1, 6, 5
06049045, 5, 6, 6
05216210, 4, 5, 5
05783641, 8, 9, 9
06925835, 1, 3, 3
07286462, 1, 10, 9
07215480, 3, 4, 4
04494529, 3, 3, 3
06958587, 1, 0, 1
04503162, 9, 12, 12
05712468, 5, 8, 8
05818208, 2, 6, 5
04248189, 2, 2, 2
06476509, 13, 17, 17
04957690, 26, 29, 28
06066843, 4, 5, 5
06901900, 2, 2, 2
06725847, 7, 16, 13
05995439, 8, 15, 15
07233213, 1, 2, 2
05980516, 44, 50, 69
04500323, 8, 33, 27
07196475, 2, 3, 3
07452181, 1, 0, 1
05888591, 32, 50, 59
07422537, 1, 0, 1
06883340, 1, 3, 3
05870346, 4, 5, 5
06792040, 3, 8, 7
04824488, 4, 4, 4
05883396, 20, 27, 27
05710046, 7, 9, 9
05951596, 40, 49, 47
06492047, 27, 42, 41
04683147, 18, 24, 23
06041012, 16, 19, 19
06725825, 18, 22, 21
04773441, 7, 8, 8
06504787, 5, 6, 6
05999661, 2, 4, 4
07028213, 7, 13, 12
07242373, 4, 7, 7
06225552, 3, 3, 3
06220019, 11, 12, 12
06772803, 4, 4, 4
05439583, 7, 7, 7
07480559, 1, 4, 4
05618706, 3, 3, 3
04548172, 23, 25, 25
05997749, 1, 2, 2
05983290, 2, 4, 4
04684495, 33, 35, 35
06082335, 2, 2, 2
06217315, 5, 7, 6
06039390, 31, 45, 40
07138730, 3, 9, 9
07000379, 2, 8, 6
06582944, 2, 7, 7
04501114, 7, 7, 7
07005966, 1, 4, 3
06357429, 7, 7, 7
04285316, 7, 7, 7
05727628, 10, 12, 12
05935125, 6, 7, 7
05143074, 17, 35, 32
06525948, 2, 5, 5
06438852, 1, 2, 1
05814851, 16, 18, 18
05762315, 2, 6, 6
05909361, 4, 5, 5
05806801, 5, 7, 7
05473647, 1, 2, 2
05834624, 3, 3, 3
06919053, 3, 3, 3
05993458, 11, 21, 19
06092365, 19, 27, 26
05886337, 25, 31, 29
06272076, 8, 10, 9
06050297, 9, 33, 33
07449724, 1, 5, 2
06318343, 10, 21, 19
05975072, 2, 4, 4
07131275, 2, 6, 6
06073881, 7, 20, 13
05261765, 20, 20, 20
06230054, 2, 2, 2
06623245, 9, 43, 35
05800171, 1, 0, 1
04788823, 1, 3, 3
04651697, 2, 2, 2
05824862, 4, 9, 9
06867743, 1, 0, 1
07263621, 1, 0, 0
06276481, 14, 22, 21
06297696, 12, 18, 18
04648354, 1, 0, 1
07321125, 1, 0, 1
05820441, 21, 23, 23
06110167, 10, 12, 11
05782878, 35, 50, 50
05933282, 2, 3, 3
05985518, 4, 7, 7
05985510, 14, 22, 20
05258293, 9, 15, 15
06769255, 3, 4, 4
04316096, 10, 34, 31
05961786, 6, 21, 17
05794096, 18, 19, 19
05977526, 1, 3, 3
05681358, 12, 13, 13
05751565, 5, 10, 10
06900970, 1, 4, 4
06898192, 6, 9, 9
05950723, 6, 8, 8
05134866, 4, 4, 4
05900957, 13, 20, 19
06905510, 2, 12, 9
06363724, 9, 13, 12
05070809, 11, 11, 11
05738004, 2, 3, 3
06067861, 17, 20, 19
06018129, 1, 2, 2
06748742, 2, 5, 5
04893496, 24, 30, 29
06566919, 2, 4, 4
06606855, 9, 19, 17
06833019, 4, 6, 5
05748141, 2, 4, 4
05928291, 25, 46, 44
07366508, 2, 5, 4
07391334, 1, 2, 2
06047700, 59, 50, 117
04668512, 18, 21, 20
06002967, 1, 0, 1
06894454, 10, 23, 19
07090621, 1, 9, 9
06817841, 3, 3, 3
06907534, 6, 8, 8
07047942, 2, 2, 3
06294127, 3, 5, 5
06201355, 7, 10, 10
04588451, 29, 30, 30
04866980, 4, 4, 4
07199783, 3, 24, 23
06150634, 6, 6, 6
05190020, 23, 24, 24
07378820, 1, 6, 5
05899596, 1, 0, 1
07169976, 1, 4, 4
04860693, 7, 7, 7
06075770, 15, 26, 25
04771764, 17, 29, 26
05999933, 25, 49, 49
06311494, 4, 4, 4
06105097, 29, 39, 39
06026718, 2, 2, 2
06018224, 1, 3, 3
06860911, 3, 5, 5
