patentnumber, counts

06106074, 6
06040864, 13
06315815, 41
04914313, 5
07066120, 0
04400868, 10
06027797, 21
05963457, 50
05387515, 3
06976126, 4
04304993, 2
04435545, 3
04975195, 9
05154877, 3
04935859, 9
06871638, 3
06076499, 7
06113865, 0
05912496, 2
05957390, 0
04397750, 19
05076513, 5
04460704, 13
07190441, 4
06086537, 17
07301789, 6
06962405, 4
05434839, 7
05822378, 7
07165517, 2
06341597, 2
07124749, 2
04565548, 15
06106769, 2
07292551, 5
06473451, 17
06736218, 7
05921248, 0
04774932, 14
04411203, 2
06048319, 37
06511520, 5
06871630, 6
06049045, 6
05216210, 5
05783641, 9
06925835, 3
07286462, 10
07215480, 4
04494529, 3
06958587, 0
04503162, 12
05712468, 8
05818208, 6
04248189, 2
06476509, 17
04957690, 29
06066843, 5
06901900, 2
06725847, 16
05995439, 15
07233213, 2
05980516, 50
04500323, 33
07196475, 3
07452181, 0
05888591, 50
07422537, 0
06883340, 3
05870346, 5
06792040, 8
04824488, 4
05883396, 27
05710046, 9
05951596, 49
06492047, 42
04683147, 24
06041012, 19
06725825, 22
04773441, 8
06504787, 6
05999661, 4
07028213, 13
07242373, 7
06225552, 3
06220019, 12
06772803, 4
05439583, 7
07480559, 4
05618706, 3
04548172, 25
05997749, 2
05983290, 4
04684495, 35
06082335, 2
06217315, 7
06039390, 45
07138730, 9
07000379, 8
06582944, 7
04501114, 7
07005966, 4
06357429, 7
04285316, 7
05727628, 12
05935125, 7
05143074, 35
06525948, 5
06438852, 2
05814851, 18
05762315, 6
05909361, 5
05806801, 7
05473647, 2
05834624, 3
06919053, 3
05993458, 21
06092365, 27
05886337, 31
06272076, 10
06050297, 33
07449724, 5
06318343, 21
05975072, 4
07131275, 6
06073881, 20
05261765, 20
06230054, 2
06623245, 43
05800171, 0
04788823, 3
04651697, 2
05824862, 9
06867743, 0
07263621, 0
06276481, 22
06297696, 18
04648354, 0
07321125, 0
05820441, 23
06110167, 12
05782878, 50
05933282, 3
05985518, 7
05985510, 22
05258293, 15
06769255, 4
04316096, 34
05961786, 21
05794096, 19
05977526, 3
05681358, 13
05751565, 10
06900970, 4
06898192, 9
05950723, 8
05134866, 4
05900957, 20
06905510, 12
06363724, 13
05070809, 11
05738004, 3
06067861, 20
06018129, 2
06748742, 5
04893496, 30
06566919, 4
06606855, 19
06833019, 6
05748141, 4
05928291, 46
07366508, 5
07391334, 2
06047700, 50
04668512, 21
06002967, 0
06894454, 23
07090621, 9
06817841, 3
06907534, 8
07047942, 2
06294127, 5
06201355, 10
04588451, 30
04866980, 4
07199783, 24
06150634, 6
05190020, 24
07378820, 6
05899596, 0
07169976, 4
04860693, 7
06075770, 26
04771764, 29
05999933, 49
06311494, 4
06105097, 39
06026718, 2
06018224, 3
06860911, 5
05617841, 3
07174704, 12
